,year,Q,revenue,earnings,zRev,zEarnings,b,a,y_hat
12,2017.0,1.0,1283400000.0,8400000.0,0.6098563523487436,0.8157955335309915,0.5344759381771218,-754075561.5883342,-68129142.53181612
13,2017.0,2.0,1202300000.0,-176500000.0,0.4417018728164285,0.17044616590003714,0.5344759381771218,-754075561.5883342,-111475141.11798072
14,2017.0,3.0,1178700000.0,-42700000.0,0.3927691266146698,0.6374431663814957,0.5344759381771218,-754075561.5883342,-124088773.25896072
15,2017.0,4.0,1416800000.0,-276400000.0,0.8864507736756342,-0.17823096674643304,0.5344759381771218,-754075561.5883342,3169947.6210119724
16,2018.0,1.0,1383600000.0,17700000.0,0.8176131815612956,0.8482549662998821,0.5344759381771218,-754075561.5883342,-14574653.526468515
17,2018.0,2.0,1442500000.0,22200000.0,0.9397377049207696,0.8639611434461195,0.5344759381771218,-754075561.5883342,16905979.232164025
18,2018.0,3.0,1221400000.0,-100400000.0,0.4813042224966655,0.43605507275085176,0.5344759381771218,-754075561.5883342,-101266650.69879758
19,2018.0,4.0,1413300000.0,170600000.0,0.8791937986033395,1.381915963113148,0.5344759381771218,-754075561.5883342,1299281.8373920918
20,2019.0,1.0,1200400000.0,-130200000.0,0.4377623720628971,0.3320452774268797,0.5344759381771218,-754075561.5883342,-112490645.40051723
21,2019.0,2.0,1506100000.0,49400000.0,1.0716073090916112,0.9588962586411544,0.5344759381771218,-754075561.5883342,50898648.90022898
22,2019.0,3.0,1316800000.0,-54800000.0,0.6791086287529275,0.5952110011660574,0.5344759381771218,-754075561.5883342,-50277646.196700215
23,2019.0,4.0,1447700000.0,-13500000.0,0.9505194964567504,0.7393588047526362,0.5344759381771218,-754075561.5883342,19685254.11068499
25,2020.0,2.0,18900000.0,-561200000.0,-2.0119850701988806,-1.1722574670238577,0.5344759381771218,-754075561.5883342,-743973966.3567866
26,2020.0,3.0,119500000.0,-905800000.0,-1.8033988724066383,-2.3750016102668368,0.5344759381771218,-754075561.5883342,-690205686.9761682
27,2020.0,4.0,162500000.0,-946100000.0,-1.7142417500898743,-2.5156591522653633,0.5344759381771218,-754075561.5883342,-667223221.6345519
28,2021.0,1.0,148300000.0,-567200000.0,-1.7436843346688988,-1.1931990365521743,0.5344759381771218,-754075561.5883342,-674812779.9566671
29,2021.0,2.0,444700000.0,-344000000.0,-1.1291222171179964,-0.4141726500987993,0.5344759381771218,-754075561.5883342,-516394111.8809681
30,2021.0,3.0,763200000.0,-224200000.0,-0.4687374855391761,0.003960688149920747,0.5344759381771218,-754075561.5883342,-346163525.57155484
31,2021.0,4.0,1171700000.0,-134400000.0,0.3782551764700803,0.3173861787570581,0.5344759381771218,-754075561.5883342,-127830104.8262006
32,2022.0,1.0,785700000.0,-337400000.0,-0.4220855029315671,-0.3911369236176511,0.5344759381771218,-754075561.5883342,-334137816.9625696
33,2022.0,2.0,1166400000.0,-121600000.0,0.3672660427891769,0.36206152708413336,0.5344759381771218,-754075561.5883342,-130662827.29853928
34,2022.0,3.0,968400000.0,-226900000.0,-0.04327140415778213,-0.00546301813782169,0.5344759381771218,-754075561.5883342,-236489063.05760944
35,2022.0,4.0,990900000.0,-287700000.0,0.003380578449826845,-0.2176709226914292,0.5344759381771218,-754075561.5883342,-224463354.4486242
