,year,Q,revenue,earnings,zRev,zEarnings
12,2017.0,1.0,1283400000.0,8400000.0,0.6098563523487436,0.8157955335309915
13,2017.0,2.0,1202300000.0,-176500000.0,0.44170187281642853,0.17044616590003714
14,2017.0,3.0,1178700000.0,-42700000.0,0.3927691266146698,0.6374431663814957
15,2017.0,4.0,1416800000.0,-276400000.0,0.8864507736756342,-0.17823096674643304
16,2018.0,1.0,1383600000.0,17700000.0,0.8176131815612956,0.8482549662998821
17,2018.0,2.0,1442500000.0,22200000.0,0.9397377049207697,0.8639611434461195
18,2018.0,3.0,1221400000.0,-100400000.0,0.4813042224966655,0.43605507275085176
19,2018.0,4.0,1413300000.0,170600000.0,0.8791937986033395,1.3819159631131481
20,2019.0,1.0,1200400000.0,-130200000.0,0.4377623720628971,0.33204527742687967
21,2019.0,2.0,1506100000.0,49400000.0,1.0716073090916112,0.9588962586411544
22,2019.0,3.0,1316800000.0,-54800000.0,0.6791086287529275,0.5952110011660574
23,2019.0,4.0,1447700000.0,-13500000.0,0.9505194964567505,0.7393588047526362
25,2020.0,2.0,18900000.0,-561200000.0,-2.011985070198881,-1.1722574670238577
26,2020.0,3.0,119500000.0,-905800000.0,-1.8033988724066383,-2.3750016102668368
27,2020.0,4.0,162500000.0,-946100000.0,-1.7142417500898743,-2.515659152265363
28,2021.0,1.0,148300000.0,-567200000.0,-1.7436843346688988,-1.1931990365521743
29,2021.0,2.0,444700000.0,-344000000.0,-1.1291222171179964,-0.4141726500987993
30,2021.0,3.0,763200000.0,-224200000.0,-0.46873748553917605,0.003960688149920748
31,2021.0,4.0,1171700000.0,-134400000.0,0.37825517647008033,0.3173861787570581
32,2022.0,1.0,785700000.0,-337400000.0,-0.42208550293156705,-0.39113692361765107
33,2022.0,2.0,1166400000.0,-121600000.0,0.3672660427891769,0.36206152708413336
34,2022.0,3.0,968400000.0,-226900000.0,-0.043271404157782134,-0.00546301813782169
35,2022.0,4.0,990900000.0,-287700000.0,0.003380578449826845,-0.21767092269142918
