,date,FF
0,2014-02-14 00:00:00,21.56
1,2014-04-18 00:00:00,21.56
2,2014-07-18 00:00:00,21.56
3,2014-10-17 00:00:00,21.56
4,2015-02-13 00:00:00,21.58
5,2015-04-17 00:00:00,21.58
6,2015-07-17 00:00:00,21.58
7,2015-10-16 00:00:00,21.58
8,2016-02-12 00:00:00,21.61
9,2016-04-15 00:00:00,21.61
10,2016-07-17 00:00:00,21.61
11,2016-10-24 00:00:00,21.61
12,2017-02-24 00:00:00,55.03
13,2017-04-24 00:00:00,55.08
14,2017-07-31 00:00:00,55.08
15,2017-10-31 00:00:00,53.18
16,2018-02-23 00:00:00,51.96
17,2018-04-30 00:00:00,52.24
18,2018-07-31 00:00:00,51.74
19,2018-10-31 00:00:00,51.74
20,2019-02-22 00:00:00,52.05
21,2019-05-03 00:00:00,52.07
22,2019-08-02 00:00:00,52.08
23,2019-11-01 00:00:00,52.08
24,2020-02-21 00:00:00,52.47
25,2020-06-02 00:00:00,52.55
26,2020-08-03 00:00:00,57.55
27,2020-10-30 00:00:00,85.62
28,2021-03-11 00:00:00,450.16
29,2021-05-02 00:00:00,450.28
30,2021-08-02 00:00:00,513.33
31,2021-11-02 00:00:00,513.96
32,2022-02-24 00:00:00,516.78
33,2022-05-04 00:00:00,516.82
34,2022-08-04 00:00:00,516.82
35,2022-11-08 00:00:00,516.82
