,DBO,DBO -> revenue (Model 1),revenue -(2 rssd),revenue -rssd,revenue,revenue +rssd,revenue +(2 rssd),revenue -> earnings -(2 rssd),earnings -rssd,earnings,earnings +rssd,earnings +(2 rssd),DBO -> earnings -(2 rssd),earnings -rssd (Model 4),earnings (Model 4),earnings +rssd (Model 4),earnings +(2 rssd) (Model 4)
0,7000000000.0,3570472717.2710857,3339012034.4599953,3413890836.7282505,3488769638.996506,3563648441.264762,3638527243.533017,-1407652498.5414085,-1279645659.5041149,-1151638820.4668212,-1023631981.4295275,-895625142.3922338,-1298921522.2152898,-1187662419.3331268,-1076403316.4509637,-965144213.5688007,-853885110.6866378
1,7500000000.0,3825506482.790449,3558345537.892674,3633224340.160929,3708103142.429185,3782981944.6974406,3857860746.965696,-1290424018.5205526,-1162417179.483259,-1034410340.4459653,-906403501.4086716,-778396662.371378,-1174531026.084776,-1063271923.2026129,-952012820.3204498,-840753717.4382868,-729494614.5561239
2,8000000000.0,4080540248.309812,3777679041.325352,3852557843.5936074,3927436645.861863,4002315448.130119,4077194250.398374,-1173195538.499697,-1045188699.4624033,-917181860.4251096,-789175021.387816,-661168182.3505223,-1050140529.9542619,-938881427.072099,-827622324.1899359,-716363221.3077729,-605104118.42561
3,8500000000.0,4335574013.829175,3997012544.758031,4071891347.026286,4146770149.294542,4221648951.5627975,4296527753.831053,-1055967058.4788408,-927960219.4415472,-799953380.4042535,-671946541.3669598,-543939702.3296661,-925750033.8237482,-814490930.9415853,-703231828.0594223,-591972725.1772592,-480713622.2950963
4,9000000000.0,4590607779.348538,4216346048.1907096,4291224850.458965,4366103652.727221,4440982454.995476,4515861257.263732,-938738578.4579849,-810731739.4206913,-682724900.3833976,-554718061.3461039,-426711222.3088102,-801359537.6932343,-690100434.8110714,-578841331.9289083,-467582229.04674536,-356323126.1645824
5,9500000000.0,4845641544.867902,4435679551.623387,4510558353.891644,4585437156.159899,4660315958.428154,4735194760.69641,-821510098.4371295,-693503259.3998358,-565496420.3625422,-437489581.3252485,-309482742.28795475,-676969041.5627207,-565709938.6805577,-454450835.7983947,-343191732.9162317,-231932630.03406867
6,10000000000.0,5100675310.387266,4655013055.056066,4729891857.324322,4804770659.592577,4879649461.860832,4954528264.129088,-704281618.4162736,-576274779.3789799,-448267940.34168625,-320261101.3043926,-192254262.26709884,-552578545.4322065,-441319442.5500435,-330060339.66788054,-218801236.78571755,-107542133.90355453
7,10500000000.0,5355709075.90663,4874346558.488744,4949225360.757,5024104163.025255,5098982965.29351,5173861767.561767,-587053138.3954182,-459046299.3581245,-331039460.3208308,-203032621.28353712,-75025782.24624342,-428188049.30169284,-316928946.41952986,-205669843.53736687,-94410740.65520386,16848362.22695914
8,11000000000.0,5610742841.425992,5093680061.921422,5168558864.189678,5243437666.457933,5318316468.726189,5393195270.994445,-469824658.3745623,-341817819.3372686,-213810980.29997492,-85804141.26268122,42202697.77461249,-303797553.1711792,-192538450.2890162,-81279347.4068532,29979755.475309804,141238858.3574728
9,11500000000.0,5865776606.945355,5313013565.3541,5387892367.622356,5462771169.890612,5537649972.158867,5612528774.427123,-352596178.3537069,-224589339.3164132,-96582500.27911949,31424338.75817421,159431177.7954679,-179407057.04066506,-68147954.15850206,43111148.723660946,154370251.60582393,265629354.48798695
